 구분 ,  세대수  ,  인구수(계)  ,  인구수(남)  ,  인구수(여)  ,  18세이상인구수(계)  ,  18세이상인구수(남)  ,  18세이상인구수(여)  ,  65세이상인구수(계)  ,  65세이상인구수(남)  ,  65세이상인구수(여)  ,  통  ,  반  ,  면적(제곱킬로미터)    ,   구성비(퍼센트) 
 대연1동 ,9397,15232,7691,7541,14436,7302,7134,3798,1598,2200,31,175,1,4
 대연3동 ,18262,36077,17646,18431,30874,14901,15973,5147,2237,2910,33,289,4,14
 대연4동 ,6345,13923,6750,7173,11978,5762,6216,3469,1470,1999,20,156,1,4
 대연5동 ,8392,16301,7790,8511,14638,6899,7739,3790,1625,2165,18,112,1,4
 대연6동 ,6226,15655,7530,8125,12666,6033,6633,2756,1212,1544,16,107,1,4
 용호1동 ,17183,42353,20236,22117,36002,17034,18968,9513,4163,5350,43,361,2,6
 용호2동 ,8146,19495,9404,10091,16528,7888,8640,4562,2053,2509,23,185,2,8
 용호3동 ,5365,10755,5183,5572,9961,4767,5194,3670,1577,2093,21,135,2,7
 용호4동 ,3675,7650,3655,3995,6924,3292,3632,2263,940,1323,14,90,2,6
 용 당 동 ,3462,7696,3880,3816,6820,3433,3387,1963,906,1057,14,84,4,14
 감만1동 ,3686,8048,4127,3921,7218,3701,3517,2210,1023,1187,26,181,3,10
 감만2동 ,3281,6345,3100,3245,5895,2868,3027,2326,952,1374,14,85,1,3
 우암동 ,5634,12006,5849,6157,10981,5287,5694,4136,1771,2365,29,219,1,5
 문현1동 ,4714,10665,5209,5456,9540,4600,4940,2905,1227,1678,19,129,1,3
 문현2동 ,5051,8293,4122,4171,7689,3797,3892,2142,903,1239,16,102,1,2
 문현3동 ,7008,16175,7861,8314,14056,6788,7268,3652,1561,2091,23,155,1,3
 문현4동 ,4307,8718,4248,4470,8006,3873,4133,2565,1081,1484,17,126,1,3
